,,277,47,85,250,130,當季精選,Specialty,青仁黑豆茶, Black Bean,-,-,,,,,,,
'聯傑' November, 2014  ,362,61,105,360,185,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,潔蒂普鎮  可可娜, Gedeb Kokanna,水洗,Washed,G1,花香、茉莉氣息、檸檬特色鮮明、柑橘橙果類甜感、乾淨均衡感佳、大吉嶺紅茶尾韻,,,,,
'圓石' December, 2014,309,52,90,305,160,盧安達,Rwanda,基輔湖  穆修伊, Mushonyi Lake Kivu,水洗,Washed,,入口時帶黃金奇異果的酸感，中段帶點養樂多、水梨、蘋果酸甜味，果香、層次豐富，清新明亮,,,,,
'圓石' December, 2014,459,77,130,405,210,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,陽光/江壩,Janbar,日曬,Natural,   G1,熱帶水果、椰子芒果荔枝、柑橘、花香、百香果,,,,,
'圓石' January, 2015,302,51,90,330,170,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,科契爾  Ecx(Q1&Q2),Kochere Ecx(Q1&Q2),日曬,Natural,   G3,熱帶水果、藍莓、花香、杏仁、蜂蜜香氣、柔軟葡萄及柳橙香氣、風味乾淨而口感圓潤多汁、莓果及太妃糖尾韻,,,,,
'圓石' January, 2015,372,62,105,355,185,肯亞,Kenya,冽里  特鼓,Nyeri Tegu,水洗,Washed,AB,黑醋栗、蔓越莓、哈蜜瓜、熟櫻桃、柳橙。,,,,,
'聯傑' March, 2015,352,59,100,330,170,瓜地馬拉,Guatemala ,安提瓜火山  花神  貝拉卡摩娜,Antigua Bella Carmona,水洗,Washed,,溫帶水果、蘋果清香、堅果、奶油、焦糖  甜檸檬、甜感圓潤。,,,,,
'圓石' January, 2015,327,55,95,315,165,瓜地馬拉,Guatemala ,微微特南果  歐規  新霸主,Huehuetenango Xinabajul Bannil Kappe,水洗,Washed,,葡萄柚、白葡萄、焦糖、茉莉蜜茶感、質感乾淨圓潤。,,,,,
'圓石' January, 2015,347,58,100,325,170,尼加拉瓜 ,Nicaragua,天意莊園  米賽亞 卡杜拉,Finca La Divina Providencia Misael Sauceda,水洗,Washed,,,,,,,
'圓石' February, 2015,282,47,85,295,155,尼加拉瓜 ,Nicaragua,米耶瑞詡 愉悅莊園,Mierisch Placeres,水洗,Washed,,紅梨、太妃糖、花生、杏仁,,,,,
'圓石' March, 2015,452,76,130,390,200,肯亞,Kenya,冽里  坦巴雅,Nyeri Tambaya,水洗,Washed,AA,香草、葡萄柚、桃子、杏桃、伯爵茶、蔓越莓、櫻桃。,,,,,
'圓石' March, 2015,452,76,130,390,200,尼加拉瓜 ,Nicaragua,寶石莊園  伊碧斯  維拉羅伯種,Finca  La  Joya  Ibis  Adamick  Garcia  Villa Lobos,日曬,Natural,VillaLobos,莓果、微煙燻木質味、藍莓酸甜感、蔗甜、威士忌酒香氣、花香,,,,,
興田 May, 2015,362,61,105,320,165,哥倫比亞,Colombia ,薇拉高原  艾利雅鎮,South Huila Elias,水洗,Washed,,青蘋果、草香、核桃、焦糖、輕快的酸度、輕甜的口感、餘韻細緻。,,,,,
考種, 2014,310,66,115,305,160,厄瓜多,Ecuador,加拉巴哥群島,Galapagos,水洗,Washed,Sc 17-18,香瓜、芒果、覆盆子、甘菊、奶油質感、新鮮的葡萄果汁、蘭姆酒香調性。,,,,,
'圓石' February, 2015,342,57,100,325,170,巴拿馬,Panama,聖特蕾莎莊園,Finca Santa Teresa,水洗,Washed,,蔗糖香、漿果甜、迷迭香、榛果香氣、柑橘酸甜,,,,,
'圓石' January, 2015,252,42,75,280,145,盧安達,Rwanda,英卓夫大象合作社,Inzovu Cooperative,水洗,Washed,,入口李子、柚子酸感、中段帶可可苦甜、木質核果。,,,,,
'圓石' February, 2015,347,58,100,325,170,哥斯大黎加,Costa Rica,塔拉珠 龐特微處理廠,Puente Micromill,蜜處理,Honey,,梅子、紅糖、桃子、核桃、橙色柑橘、輕輕糖漿、柚子、焦糖可可、核果香、奶油香氣。,,,,,
'圓石' December, 2014,434,73,125,395,205,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,柔軟清檸/洛米塔夏,Lomi Tasha,水洗,Washed,LevelUp,甜檸檬、綠茶、杏仁、花香、清脆明亮,,,,,
'聯傑' December, 2014  ,392,66,115,375,195,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,班可  果丁丁村, Banko Gotiti ,日曬,Natural,   G3,草莓、藍莓、深色漿果、柳橙、香料、濃郁香甜、巧克力厚實感。,,,,,
'圓石' October, 2014,417,70,120,330,170,尼加拉瓜 ,Nicaragua,佛羅倫斯 爪哇種,Florencia Especial Java,日曬,Natural,特選微批次,莓果、花香、鳳梨、酒香、烏梅、順口，德國莓果花茶感,,,,,
'圓石' February, 2015,337,57,100,320,165,坦尚尼亞 ,Tanzania,吉利馬札羅 非洲莊園, Kilimanjaro African Plantation,水洗,Washed,AA,奇異果葡萄酸感、 柑橘、 萊姆、 李子、紅莓、甜感佳。,,,,,
'圓石' January, 2015,472,79,135,405,210,肯亞,Kenya,冽里  加同柏亞,Nyeri  Gatomboya,水洗,Washed,AA,柑橘、蘋果、葡萄、奇異果、黑醋栗、鳳梨、甘蔗。,,,,,
興田 May, 2015,802,134,220,550,280,葉門,Yemen,依斯瑪莉 摩卡,Ismaili Mocha,日曬,Natural,,野莓、香草、香料、皮革、丁香、核桃、巧克力。,,,,,
興田 May, 2015,372,62,105,340,175,哥斯大黎加,Costa Rica,西部谷地 唐約赫處理廠,La Cumbre de San Luis Don Joel,黃蜜處理,Honey, ,蜜糖、奶油、香草 、核果、果乾、滑順甘甜。,,,,,
'圓石' March, 2015,462,77,130,395,205,尼加拉瓜 ,Nicaragua,天意莊園  米賽亞   象豆種,La Divina Providencia Misael Sauceda ,日曬,Natural,Marogogipon,蘋果、柑橘、杏桃、鳳梨、香草,,,,,
'聯傑' March, 2015,422,71,120,390,200,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe, 沃卡 阿利姆小農,Worka Coop Alemu Tukule,日曬,Natural,   G1,複雜的水果、柑橘莓果調、黑醋栗、糖漿，花朵香氣、青蘋果般的明亮酸度、可可滑順口感。,,,,,
'圓石' April, 2015,402,67,115,370,190,肯亞,Kenya,奇雲域,Kirinyaga Kiunyu,水洗,Washed,AA,黑醋栗、梨子、楓糖、葡萄柚、綠葡萄,,,,,
'圓石' April, 2015,402,67,115,355,185,肯亞,Kenya,卡仙度,Muranga Kahindu,水洗,Washed,AA,黑醋栗、梨子、楓糖、葡萄柚、綠葡萄,,,,,
'聯傑' March, 2015,422,71,120,390,200,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,沃卡  加吉魯小農,Worka Coop Gelgelu Adame,日曬,Natural,   G1,鳳梨、芒果、丁香、香料調性、葡萄干香氣、蜂蜜般的甜美、可可滑順口感。,,,,,
'圓石' April, 2015,277,47,85,290,150,蒲隆地,Burundi,路透納,Rutana,水洗,Washed,AA,牛奶巧克力、核桃、柑橘、小荳蔻、花生、可樂,,,,,
榮豆 July, 2015,1700,284,570,1100,580,巴拿馬,Panama,翡翠莊園 藝伎 綠標,La Esmeralda Reserve,水洗,Washed, ,,,,,,
榮豆 July, 2015,900,150,300,650,340,巴拿馬,Panama,翡翠莊園 藝伎 藍標,La Esmeralda 1500m,水洗,Washed, ,,,,,,
'圓石' March, 2015,502,84,140,415,215,蘇門答臘,Sumatra ,Wahana 莊園  Rasuna 老樹種,Wahana Rasuna,日曬,Natural,0 Defect, 芒果、鳳梨、哈密瓜等熱帶水果及藍莓香氣，層次豐富,,,,,
興田 May, 2015,312,52,90,310,160,巴西,Brazil,喜拉朵 花谷莊園,Cerado Fazenda La Folie,蒸氣處理,Steam,,烤番薯、黑糖、甜茶、紅茶香,,,,,
'圓石' June, 2015,337,57,110,330,170,哥倫比亞,Colombia ,維拉  幻象莊園  , Huila Finca La Illusion,日曬,Natural,,藍莓、櫻桃、檸檬、黑糖、烤焙可可、熱帶水果、可樂,,,,,
'圓石' May, 2015,392,66,115,355,185,巴拿馬,Panama,哈特曼莊園,Finca Hartmann,酒香日曬,Black Winey,,香瓜、芒果、覆盆子、甘菊、奶油質感、新鮮的葡萄果汁、蘭姆酒香調性。,,,,,
'圓石' February, 2015,392,66,115,375,195,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,阿洛默,Aramo Station,日曬,Natural,   G1,百香果、藍莓， 入口時強烈的花香，中段伴隨著芭樂、柚子皮、草莓，豐富的酸甜滋味,,,,,
'聯傑' March, 2015,312,52,90,310,160,巴布亞新幾內亞,Papua New Guinea,奇邁爾莊園 圓豆,Kimel,水洗,Washed,PB,些微辛香料氣息、堅果、甘蔗香甜爽口、奶油般的乳脂滑順感、平順。,,,,,
'圓石' April, 2015,342,57,100,350,180,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,金蕾娜安芭雅,Gelana Abaya ,日曬,Natural,G1,草莓、藍莓、葡萄、金銀花、烘烤過的可可豆香氣、 多汁爽口的甜味。,,,,,
'圓石' April, 2015,372,62,105,365,190,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,沃卡 哈洛巴利迪, Worka Halo Bariti,日曬,Natural,G3,芒果，水蜜桃，花香，蘋果，荔枝，花香、 濃郁藍莓酒香，整體香氣豐富，層次多變！花果香餘韻持久。,,,,,
'圓石' April, 2015,352,59,100,355,185,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,班可 果丁丁,Banko Gutiti,水洗,Washed,G1,茉莉花香、 柑橘、 甜橙、 柚香、 水蜜桃、 杏桃氣息、香甜多汁。,,,,,
'聯傑' August, 2015,2400,400,435,1300,655,哥斯大黎加,Costa Rica,布魯瑪斯莊園 藝伎N,Brumas Zurqui Geisha,日曬,Natural,,紅色莓果、蜜糖漿、桃子、花香、紅酒香、熱帶水果,,,,,
'聯傑' August, 2015,2200,367,400,1200,605,哥斯大黎加,Costa Rica,布魯瑪斯莊園 藝伎H,Brumas Zurqui Geisha,紅蜜處理,Honey,,深色莓果調、蜂蜜、甜桃、花香、焦糖,,,,,
'圓石' May, 2015,387,65,110,365,185,衣索比亞 西達摩,Ethiopia Sidamo,雅笛,Ardi,日曬 ,Natural,   G1,野莓、芒果、鳳梨、黃金奇異果、檸檬夾心餅乾、酸質優雅、線條流暢。,,,,,
'圓石' May, 2015,362,61,105,360,185,衣索比亞,Ethiopia ,哈拉爾城 摩卡,Harra Mocha ,日曬,Natural,   G1,藍莓、檸檬、草本植物芳香、酸值與口感複雜豐富、葡萄酒與巧克力,,,,,
'圓石' May, 2015,302,51,90,305,160,巴拿馬,Panama,卡門莊園 帕索安丘,Volcan Carmen Paso Ancho,水洗,Washed,,甜蘋果、野梅、黑莓酸質、榛果、焦糖甜香、口感紮實。,,,,,
'聯傑' August, 2015,262,44,95,285,150,哥斯大黎加,Costa Rica,塔拉珠 鑽石山 ,Tarrazu Montanas Diamante,水洗,Washed,SHB,輕柔橙橘調、吐司、口感乾淨明亮、焦糖可可甜,,,,,
'聯傑' August, 2015,252,42,95,280,145,瓜地馬拉,Guatemala ,薇薇特南果 茵赫特,Huehuetenango El Injerto,水洗,Washed,,溫帶水果風味、堅果、核果調、花生、吐司、酸度溫和內斂,,,,,
'圓石' May, 2015,342,57,100,325,170,哥斯大黎加,Costa Rica,三水合 羅莎利亞莊園,Tres Rio La Rosalia,水洗,Washed,,杏仁、葡萄、輕花香、黑李、蘋果酸、蜂蜜,,,,,
'圓石' May, 2015,322,54,95,340,175,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,哈瑪合作社,FTO Hama Coop,水洗,Washed,G1, 柑橘、葡萄柚、橘子、香草，綠奇異果，核果香氣再帶一點草本香氣。,,,,,
'圓石' May, 2015,377,63,110,365,190,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,科契爾 杜梅索,Kochere Dumerso,日曬,Natural,G1,花香、草莓、覆盆子巧克力蛋糕、深色莓果與紫葡萄的多層次風味。
'圓石' May, 2015,382,64,110,370,190,肯亞,Kenya,冽里產區  露奇拉,Nyeri Rukira,水洗,Washed,AB,強烈的花香、莓果香、水蜜桃香氣。中段核果香、橘子、綠色奇異果酸香、黃金奇異果香氣！,,,,,
'圓石' June, 2015,327,54,105,340,175,衣索比亞 ,Ethiopia ,利姆  季洛,Limu Gera,水洗,Washed,G1,花香調性、蘋果、蘆薈、金桔的明亮果酸、層次多變的口感、中後段為香檬、檀香、微帶可可的甜感,,,,,
'圓石' June, 2015,362,63,120,360,185,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,科契爾  YirgZ,Kochere YirgZ,日曬,Natural,G1,草莓、芒果等等甜感豐富的熱帶水果風味、葡萄乾、櫻桃口感、香料茶、甜梅的質地與餘韻。,,,,,
'圓石' June, 2015,332,52,100,325,170,瓜地馬拉,Guatemala ,花神  貝拉卡摩娜,Antigua Bella Carmona,水洗,Washed,,些許的檸檬皮、青草、香草、蜂蜜杏仁、奶油質地、平順滑口的口感。,,,,,
'聯傑' July, 2015,312,52,100,330,170,衣索比亞 ,Ethiopia ,西達摩 西爾莎 , Shilcho Coop,水洗,Washed,G1,萊姆、金桔香氣、甜度紮實飽滿、翡翠檸檬茶風味。,,,,,
'圓石' October, 2015,347,58,120,350,180,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,艾瑞莎(圓石), Aricha,日曬,Natural,   G1,濃郁的百香果、香吉士、葡萄汁、橘皮香氣、水果軟糖、水果牛奶的豐富口感。,,,,,
'圓石' October, 2015,267,45,95,285,150,薩爾瓦多,Salvador,聖塔安娜火山 雷納斯蛙丘莊園, Cerro Las Ranas,蜜處理,Honey,,橘子、杏仁、牛奶巧克力、油脂感豐富。,,,,,
'圓石' December, 2015,377,63,125,370,190,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,荷芙莎合作社,Harfusa,日曬,Natural,G3,花香與檸檬草香氣、 香吉士的酸質、 蜂蜜、 焦糖與柑橘、 鮮桔茶、薄荷花草的香氣,,,,,
'聯傑' August, 2015,222,36,90,260,135,坦尚尼亞 ,Tanzania,吉利馬札羅, Kilimanjaro,水洗,Washed,PB,杏果、核棗類圓潤甜順、微帶香料、麥芽巧克力,,,,,
'圓石' August, 2015,377,63,120,350,180,肯亞,Kenya,冽里  坦巴雅,Nyeri Tambaya,水洗,Washed,AA,香草、葡萄柚、桃子、杏桃、伯爵茶、蔓越莓、櫻桃。,,,,,
'圓石' August, 2015,342,57,120,350,180,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe, 維娜果,Wanago,日曬 ,Natural,G1,草莓、桃子、黃金奇異果、哈密瓜、黃檸檬、花香、酒香,,,,,
'圓石' August, 2014,279,47,95,,,印尼 蘇門答臘,Indonesia Sumatra ,林東曼特寧 三次手選,Lintong Mandheling TP,半水洗,Giling Basah,G1,油脂感濃郁回甘，藥草香的苦甜味明顯，餘味的焦糖甜感持續甚久，還有黑巧克力、橙皮、梨子等特性,,,,,
'聯傑' August, 2015,302,51,105,305,160,哥倫比亞,Colombia ,聖坦德卡恰露 希望農協,Santander Kachalu,水洗,Washed,,臻果、奶油巧克力、烤杏仁、乳脂感滑順,,,,,
'聯傑' November, 2015,232,39,90,270,140,巴拿馬,Panama,聖塔克拉拉 伊列塔莊園,MC Santa Clara Eleta ,水洗,Washed,SHB,奶油麵包、杏核甜感、蔗甜、酸質圓潤,,,,,
'圓石' November, 2015,472,79,130,395,205,哥斯大黎加,Costa Rica,中央谷地 拉斯拉哈斯莊園 黑珍珠,Central Valley Las Lajas Perla Negra,日曬,Natural,黑珍珠,酒釀櫻桃、 香蕉、 桃子、 香瓜等等熱帶水果風味、 榛果糖漿、 牛奶巧克力的滑順感。,,,,,
'圓石' October, 2015,282,47,100,295,155,盧安達,Rwanda,咖啡愛人合作社 穆莎莎處理場,Dukundekawa Musasa,水洗,Washed,Bourbon,檸檬乾香、野莓果酸、柑橘、李子的多汁風味、楓糖的甜蜜感、黑巧克力的深厚韻味。,,,,,
'圓石' October, 2015,472,79,130,395,205,哥斯大黎加,Costa Rica,中央谷地 索諾拉莊園,Central Valley Sonora,日曬,Natural,Villa Sarchi,紫藤花，桃子、蜂蜜、百香果、香瓜、複雜度、甜膩的口感、榛果糖漿、酸質平衡但香氣濃郁複雜度高。,,,,,
'聯傑' July, 2015,287,48,95,320,165,衣索比亞 ,Ethiopia ,班其馬吉,Forest Bench Maji,日曬,Natural,G1,波羅蜜、熟果香、香料、葡萄酒、黑巧克力。,,,,,
'圓石' August, 2015,242,41,95,275,145,巴西,Brazil,聖塔克拉拉莊園 艾德瑪祖孔,Fazenda Santa Clara Edmar Zuccon,水洗,Washed,Acaia,蜂蜜檸檬、萊姆水、柳橙、奇異果、 質地乾淨清澈、 些許核果韻味,,,,,
'聯傑' January, 2016,347,58,120,350,180,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,潔蒂普鎮  可可娜, Gedeb Kokanna,水洗,Washed,G1,花香、茉莉氣息、檸檬特色鮮明、柑橘橙果類甜感、乾淨均衡感佳、大吉嶺紅茶尾韻,,,,,
'圓石' December, 2015,412,69,130,385,200,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,沃卡 班可  果丁丁村, Banko Gotiti ,日曬,Natural,G3,香氣是濃郁又鮮明草莓、藍莓鮮果； 黑莓冰砂、藍莓巧克力、 後段帶杏桃果乾、 豐富熱帶水果風味,,,,,
'聯傑' October, 2015,392,66,125,375,195,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,孔加合作社, Konga,水洗,Washed,G1,檸檬、香橙、紅蘋果、蜂蜜 、淡花香、伯爵紅茶,,,,,
'美妙山' November, 2015, 295, 50, 105,310,160,緬甸,Myanmar ,槍貴 1400m, Chaungue Plantation, 蜜處理, Honey,  
'聯傑' November, 2015,332,58,120,350,180,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,艾瑞莎(聯傑), Aricha,日曬,Natural,   G1,花、紅色莓果調、甜橘類調性、 西瓜、杏桃、 濃郁日曬口感. ,,,,,
'圓石' November, 2015,562,94,150,440,225,瓜地馬拉,Guatemala ,新東方產區 番石榴平原莊園,New Oriente Plan del Guayabo Estate,酒香日曬,Winey,SL28,鳳梨、 香瓜、 杏桃果乾、 糖漬檸檬皮、 波爾多葡萄酒、 綠茶與肉桂香料、整體充滿豐富的甜味與煙燻烏梅的飽滿香氣。,,,,,
'圓石' December, 2015,317,53,105,320,165,瓜地馬拉,Guatemala ,安提瓜火山 歐規 胡娜樸,Antigua EP Hunapu,水洗,Washed,SHB,檸檬酸、蘋果汁、茂谷柑、白葡萄、風味乾淨精緻，果酸與層次多變,,,,,
'聯傑' September, 2015,2400,400,1000,1300,680,巴拿馬,Panama,翡翠莊園 藝伎 日曬,La Esmeralda Private,日曬,Natural, ,,,,,,
'聯傑' October, 2015,1902,317,420,1120,570,巴拿馬,Panama,波奎特 鄧肯莊園 藝伎 水洗,Boquete Duncan,水洗,Washed, Geisha,花香調、檸檬、橙、杏、複雜的香氣精緻，輕脆甜蜜的酸度、糖漿口感,,,,,
'安晶' August, 2015,422,71,125,375,195,尼加拉瓜 ,Nicaragua,安晶莊園 Marabella, Tres Soles Est. Marabella, 水洗, Washed,,融合麥芽香甜、輕微的花香芬芳，可可與核果的風味，滑潤的口感,,,,,,
'圓石' December, 2015,317,53,110,320,165,瓜地馬拉,Guatemala ,卡迪拉斯莊園,Finca Caldreas,酒香日曬,Winey,Pacas,烤堅果、開心果、柳丁酸甜、白葡萄果汁、中後段是牛奶巧克力、些許香料感,,,,,
'聯傑' March, 2016,352,59,130,355,185,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,科契爾  蔻瑞,Kochere Kore,水洗,Washed, G1,香橙水果調、黑加侖、花、豐富明亮的酸度、深刻飽滿的口感,,,,,
'聯傑' September, 2015,292,49,100,300,155,蒲隆地,Burundi,瑪塔娜省 卡妮卡產區,Bururi Matana Canika,水洗,Washed,,	糖漿、檸檬皮、堅果焦糖、圓潤多汁、可可調
"圓石 June, 2016",267,45,110,290,150,瓜地馬拉,Guatemala ,柯班 羅莎莉歐之花莊園,Coban Flor del Rosario,水洗,Washed,,"柑橘、葡萄、深色的莓果韻味、栗子、黑巧克力與烤榛果的風味、 Body 相當紮實，尾韻也有著滑順的牛奶的乳脂感與黑糖的甜蜜滋味。",,,,,
'圓石' December, 2015,347,58,110,330,170,哥斯大黎加,Costa Rica,塔拉珠 龐特 南方莊園, Tarrazu Puente El Sur Farm,白蜜處理,White Honey,Caturra,檸檬、柑橘水果酸質、杏仁香氣、烤榛果、橙花水風味,,,,,
'聯傑' November, 2015,362,61,115,335,175,宏都拉斯,Honduras,聖文森處理廠 薩卡斯圖梅小農,Familia Sagastume ,水洗,Washed,Parainema,蕃茄、葡萄、西瓜、萊姆，細膩酸質餘韻柔和。,,,,,
'聯傑' October, 2015,2102,351,455,1220,620,巴拿馬,Panama,波奎特 鄧肯莊園 藝伎 日曬,Boquete Duncan,日曬,Natural,Geisha ,鮮花、多汁、蜂蜜、香草、複雜細緻的酸度、均衡且風味細膩,,,,,
'圓石' January, 2016,472,79,135,395,205,峇里島,Bali,卡拉娜  金塔瑪妮火山 烏布處理場,Karana Kintamani,日曬,Natural,  ,鳳梨，草莓的甜味，酸質圓滑豐富、黑糖、黑巧克力、榛果甜、日曬的熟果風味,,,,,
'圓石' March, 2016,385,65,135,360,185,哥斯大黎加,Costa Rica,西部谷地 薩拉卡莊園,West Valley Monte Brisas Salaca,紅蜜處理,Red Honey,Villalobos,焦糖、黑巧克力、核桃露的甜蜜滋味、中段帶著些許的柑橘、香吉士果酸，低溫為溫潤的柳橙與菊花茶，Body 非常紮實渾厚，平衡感與細膩兼具,,,,,
'聯傑' March, 2016,312,52,125,335,175,衣索比亞 ,Ethiopia,西達摩 雅笛, Sidamo Ardi,日曬 ,Natural, G1,芒果乾、野莓、熱帶水果、複雜的層次、細膩多汁的酸度、活潑的口感,,,,,
'美妙山' November, 2015, 395, 66, 120,360,185,緬甸,Myanmar ,葡萄歐 2800m, Putao 2800m, 日曬, Natural,  
'聯傑' November, 2015,452,76,130,390,200,肯亞,Kenya,冽里  加圖麗麗,Nyeri Gaturiri ,水洗,Washed,AA,葡萄柚香氣、紫色梅果調、蔓越梅、餘韻細膩、酸質迷人。,,,,,
"榮豆 May, 2016",475,80,150,400,205,尼加拉瓜 ,Nicaragua,檸檬樹莊園 帕卡馬拉,Fincas Mierisch Limoncillo Pacamara ,日曬 ,Natural,SHG,熱帶水果與香料的香氣，沖水後水果乾與發酵類的水果香氣樸鼻而來，啜吸時可以感覺到葡萄、香料的風味，Body厚實與黑糖的甜感,,,,,
"榮豆 May, 2016",472,79,135,395,205,尼加拉瓜 ,Nicaragua ,基督山莊園 伊索莎奇,Finca Cerro de Jesus,水洗,Washed ,Ethiosarch ,柑橘、檸檬、果汁感飽滿、蔗糖,,,,,
'圓石' March, 2016,357,60,120,330,170,巴西,Brazil,南米納斯 聖泰奧之地莊園 艾爾森小農,Sitio Sertaozinho Elson Benedito Daniel ,日曬 ,Natural,Yellow Bourbon,草本植物香氣以及佛手柑香氣，杏仁核果韻味。柳橙，鳳梨的香甜感，青蘋果皮及麥芽糖香氣，中後段為甜美的水果酒香氣，層次與平衡都有十分優質的表現。,,,,,
'圓石' April, 2016,327,55,125,320,165,薩爾瓦多, Salvador,綠色山丘莊園 波波龍處理廠,Monte Verde Ciprese Farm El Borbollon,日曬 ,Natural,波旁種,優質的葡萄酒酸值，非常多汁的水果酸甜感，糖漿般的甜美質地，紫葡萄、櫻桃汁、複雜的漿果風味與細緻的日曬感、令人耳目一新的日曬薩爾瓦多生豆。,,,,,
'聯傑' June, 2016,347,58,125,330,170,瓜地馬拉,Guatemala ,花神 貝拉卡摩娜,Antigua Bella Carmona,水洗,Washed,,溫帶水果、蘋果清香、堅果、奶油、焦糖、甜檸檬、甜感圓潤,,,,,
"圓石 June, 2016",552,92,170,450,230,哥倫比亞,Colombia ,薇拉 聖阿洛夫小農,Huila San Adlofo,水洗,Washed, Pink Bourbon,"水果氣息、香吉士、蘋果皮、藍莓、甜橙、水蜜桃、細致的花香、櫻桃甜",,,,,
'圓石' April, 2016,362,61,145,370,190,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,沃卡合作社,Worka,水洗,Washed, G1,鮮明的花香、乾香與濕香都有濃郁柑橘氣息、前段有著檸檬、金桔、白葡萄汁等等多采多姿的風味、中後段則是濃郁的柑橘酸甜、像是汽水般的豐富甜感、個性鮮明,,,,,
'聯傑' April, 2016,377,63,135,365,190,衣索比亞 ,Ethiopia, 西達摩 班莎合作社, Sidamo OCR Bensa,日曬 ,Natural,G3 紅櫻桃計劃,鳳梨、芒果、桃子類調性、熱帶水果、葡萄乾香氣、蜂蜜般的甜美、厚實口感,,,,,
'聯傑' April, 2016,257,43,105,280,145,哥倫比亞,Colombia ,卡勒達斯省 瓜美拉莊園,Caldas La Guamera Estate,水洗,Washed,,焦糖、蘋果、堅果糖味、略帶水果香氣、口感厚實,,,,,
'聯傑' January, 2016,317,53,110,330,170,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,科契爾,Kochere,水洗,Washed,G1,香瓜、可可、檸檬、柑橘、生薑、香料茶、淡花香,,,,,
'圓石' April, 2016,432,72,155,400,205,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,沃卡合作社  阿迪蘇小農,Worka  Addisu Kidane,日曬 ,Natural,    G1,新鮮的莓果乾香與玫瑰花香、濕香也有著藍莓果醬與甜膩的糖蜜的氣息、入口是厚實的草莓、葡萄汁、可可等等風味、中低溫時酸質轉為清亮的金桔、甜橙、綠檸檬滋味,,,,,
'圓石' March, 2016,327,55,120,330,170,肯亞,Kenya,冽里 蘆瑟加堤,Nyeri Ruthagati ,水洗,Washed,AA,烏梅、 櫻桃、 紫葡萄等深色漿果的酸甜風味、 無花果、 蜜餞、口感甜度兼具、 風味紮實且個性突出 。,,,,,
"興田 May, 2016",377,63,135,365,190,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,  孔加 阿格西小農, Konga Abeyot Ageze,日曬,Natural,   G1,莉花香、茉莉檸檬皮、紅茶、香瓜、檸檬柑橘調、野薑花、細膩多汁。,,,,,
